Self Parking service,PARKING,5
Interior roof screen,COMFORT,12
Share riding with people/family,SAFETY,1
Alert system ,WARNING SYSTEM,13
Automatic Entry/Exit,ENTRY & EXIT,10
Reclining Seats/Rood Display,LEISURE & ENTERTAINMENT,8
Slow down the vehicle with one button,SAFETY,6
Autonomous Parking System,PARKING,3
Remote Control Over the Vehicle,ALTERNATIVE CONTROL,8
Voice control,VOICE PROGRAM,1
Exterior Lighting Signal,EXTERNAL SIGNAL,1
No steering wheel control,ALTERNATIVE CONTROL,10
Improved monitoring system,SAFETY,10
Low Battery Warning,SAFETY,7
3D Projection for Visualizing Communication,IN-CAR COMMUNICATION,5
Sport pedal ,LEISURE & ENTERTAINMENT,0
Movable screen mechanism,SCREEN & DISPLAYS,13
Intelligent assistant system,ALTERNATIVE CONTROL,3
Extra Control System,ALTERNATIVE CONTROL,0
Gesture Control Over Navigation System,ALTERNATIVE CONTROL,11
Driving map,SCREEN & DISPLAYS,7
Smart HVAC system,LEISURE & ENTERTAINMENT,12
Windows Curtain,LEISURE & ENTERTAINMENT,11
Windows Display System,SCREEN & DISPLAYS,0
Human-vehicle Communication through Wearable Devices,PORTABLE DEVICE CONNECTIVITY,6
Interior Panoramic Display,SCREEN & DISPLAYS,5
Wireless Vehicular Piggybacking,CAR-TO-CAR CONNECTIVITY,0
Traffic light warning system,WARNING SYSTEM,0
self charging ,ALTERNATIVE CONTROL,9
voice system,ALTERNATIVE CONTROL,7
Digitalization integration system,IN-CAR COMMUNICATION,10
Video Call Projection for Visualizing Communication,IN-CAR COMMUNICATION,12
Fold chair ,COMFORT,2
One person per car policy,SAFETY,2
Controllable window,NAVIGATION,1
self-parking,PARKING,2
Voice Interaction System,VOICE PROGRAM,9
One-button Parking Request,PARKING,11
Maintenance warning,SAFETY,8
WIFI System,CAR-TO-CAR CONNECTIVITY,12
Disable special seat mechanism,ENTRY & EXIT,7
Sofa Chair,COMFORT,4
Remote control system,ALTERNATIVE CONTROL,13
nearby car interaction ,CAR-TO-CAR CONNECTIVITY,11
Recording system,SAFETY,11
Vehicle to vehicle communication,CAR-TO-CAR CONNECTIVITY,5
Entrance/Exit Path-finding,NAVIGATION,4
Hand Written Commands,ALTERNATIVE CONTROL,9
Comfortable light in car,COMFORT,9
Car computer ,SCREEN & DISPLAYS,1
Brake Control Over the Vehicle,ALTERNATIVE CONTROL,13
Product go first,SAFETY,1
Photo taking with one button,LEISURE & ENTERTAINMENT,0
Touch screen with personal laptop connection,SCREEN & DISPLAYS,0
Obstacle warning system,SAFETY,13
Convenience feature,LEISURE & ENTERTAINMENT,1
Swivel Seats,LEISURE & ENTERTAINMENT,4
undisturbed sensor ,NAVIGATION,5
Sync Information System,CLOUD TECHNOLOGY,6
Share riding with drivers,SAFETY,0
Communication System,IN-CAR COMMUNICATION,3
Automatic Luggage Collection,ENTRY & EXIT,1
Higher price service,SAFETY,6
machine learning  on car navigation ,NAVIGATION,4
Voice Control Over Navigation System,VOICE PROGRAM,3
GPS self driving ,ALTERNATIVE CONTROL,9
Entertainment Device,LEISURE & ENTERTAINMENT,8
Sensor Failure Warning,SAFETY,8
Traffic condition warning,WARNING SYSTEM,7
Mobile phone application for self driving,ALTERNATIVE CONTROL,9
Real time monitoring system,SAFETY,8
Projector Screen,LEISURE & ENTERTAINMENT,6
sleeping inside car,COMFORT,7
Human-vehicle Communication through Smartphone Apps,PORTABLE DEVICE CONNECTIVITY,2
Autonomous Connectivity Display,CAR-TO-CAR CONNECTIVITY,6
Emergency Warning,SAFETY,3
Vehicle flexible interior floor,COMFORT,0
Flexible seating mechanism,LEISURE & ENTERTAINMENT,6
Mouse and Keyboard Controls,ALTERNATIVE CONTROL,0
Automated Emergency calling system,CLOUD TECHNOLOGY,7
