concept,description,category
,steering,steering,
,phone,phone,
,voice,voice,
,gps,gps,
,charging,charging,
,interaction,interaction,
,sleeping,sleeping,
,sensor,sensor,
,navigation,navigation,
,parking,parking,
,command,command,
,keyboard,keyboard,
,wireless,wireless,
,connectivity,connectivity,
